sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,34.908167199930176,None,173.99315809994005,None,0.3333333333333333,177.1249718000181,None,2.4061852867509606,both,1416.0,-0.9403459518812247,4.5217830890460965e-05,0,28,[],0.023131079971790314,None,None,178.14157799992245,None,0.2143851799191907,2.6205704666701513,178.3475129000144,None,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,1,0,1,0,,,,,,,,2.4061852867509606,both,1124.0,-0.566591441341947,4.612960267948879e-05,0,29,[],0.023375880089588463,None,None,180.75706959993113,180.75706959993113,0.22565428004600108,2.6318395667969616,180.9680494000204,180.75706959993113,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,2,0,2,0,,,,,,,,2.4061852867509606,both,,,,1,29,[],0.02374958002474159,None,None,183.3759225999238,183.3759225999238,0.22936057997867465,2.635545866729635,183.5966260000132,183.3759225999238,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,3,0,3,0,,,,,,,,2.4061852867509606,both,708.0,-0.6061149012579314,4.133702976235923e-05,0,30,[],0.02463268011342734,None,None,185.99527600000147,185.99527600000147,0.22387548012193292,2.6300607668728935,186.2064881999977,185.99527600000147,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,4,0,4,0,,,,,,,,2.4061852867509606,both,562.0,-0.42311868092087246,5.883563885957762e-05,0,31,[],0.023378680110909045,None,None,188.61494929995388,188.61494929995388,0.22473808005452156,2.630923366805482,188.82921300001908,188.61494929995388,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,5,0,5,0,,,,,,,,2.4061852867509606,both,446.0,0.01227355733308344,7.430885014682825e-05,0,32,[],0.02348147996235639,None,None,191.23377769999206,191.23377769999206,0.2239193799905479,2.6301046667415084,191.44320989993867,191.23377769999206,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,6,0,6,0,,,,,,,,2.4061852867509606,both,354.0,0.0,8.849638639228378e-05,0,33,[],0.02343227993696928,None,None,193.85148289997596,193.85148289997596,0.2276354799978435,2.633820766748804,194.06814270000905,193.85148289997596,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,7,0,7,0,,,,,,,,2.4061852867509606,both,281.0,0.7696768417039976,0.0001471164731569545,0,34,[],0.02332608005963266,None,None,196.47322019992862,196.47322019992862,0.2253875801106915,2.631572866861652,196.68945409997832,196.47322019992862,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,8,0,8,0,,,,,,,,2.4061852867509606,both,223.0,1.2314100488307165,0.0002539477434545033,0,35,[],0.022679280024021864,None,None,199.09195039991755,199.09195039991755,0.22744088002946228,2.633626166780423,199.30975559994113,199.09195039991755,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,9,0,9,0,,,,,,,,2.4061852867509606,both,177.0,0.5497238004640009,0.00037202318717897943,0,36,[],0.02296278008725494,None,None,201.71225169999525,201.71225169999525,0.222870480036363,2.6290557667873236,201.92328360001557,201.71225169999525,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
0,0,0,0,10,0,10,0,,,,,,,,2.4061852867509606,both,140.0,3.2244742798425268,0.000854023800988587,0,37,[],0.02254347992129624,None,None,204.33122819999699,204.33122819999699,0.2253309799125418,2.6315162666635024,204.54795319994446,204.33122819999699,,,ddmfvc,001,fr,0,2022-05-05_11h01.12.858,Continuous,2022.1.1,36.66397429543371,
,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,206.95211720000952,None,,,,,,,,,
