sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,24.21355569991283,None,57.3347118999809,None,"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333]",59.448708000127226,None,2.353748820597671,time,189.0,15.0,0.0017179751037817432,0,25,[],0.01569746993482113,None,None,60.47377560008317,None,0.22590316995047033,2.5796519905481414,60.69750489993021,None,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.353748820597671,time,1133.0,10.947266061538524,0.00017497671045815094,0,26,[],0.008493070024996996,0.20081297005526721,None,63.08093910012394,63.08093910012394,0.20081297005526721,2.5545617906529383,63.2905846000649,63.08093910012394,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.353748820597671,time,318.0,12.247078909565225,0.00040075656215707084,0,27,[],0.023565470008179545,None,None,65.67194320005365,65.67194320005365,0.224550070008263,2.578298890605934,65.89237269992009,65.67194320005365,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.353748820597671,time,283.0,13.988790637567824,0.0006633278727788473,0,28,[],0.02497537015005946,None,['space'],68.27388240001164,68.27388240001164,0.2291968702338636,2.5829456908315347,68.4898489001207,68.27388240001164,[-2.1452245998661965],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.353748820597671,time,600.0,13.479011221348348,0.00026359199565839024,0,29,[],0.017569570103660226,0.21238107024692,['space'],70.86547360010445,70.86547360010445,0.21238107024692,2.566129890844591,71.07793359993957,70.86547360010445,[-2.2326744000893086],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.353748820597671,time,150.0,10.242713323574097,0.0016264304337000523,0,30,[],0.024782069958746433,None,None,73.4517751999665,73.4517751999665,0.22895787004381418,2.5827066906414853,73.66677080001682,73.4517751999665,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.353748820597671,time,,,,1,30,[],0.025063670240342617,None,['space'],76.04364709998481,76.04364709998481,0.23117507016286254,2.5849238907605336,76.25759709998965,76.04364709998481,[-2.0581495999358594],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.353748820597671,time,476.0,13.982523876699139,0.00036348580020623524,0,31,[],0.019662070088088512,0.21528956992551684,None,78.6392918000929,78.6392918000929,0.21528956992551684,2.569038390523188,78.85680810012855,78.6392918000929,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,"[0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333]",84.49107889994048,None,1.0773047186137314,time,,,,1,31,[],0.0259825699031353,None,None,85.52167070005089,None,0.24262607004493475,1.3199307886586662,85.73806510004215,None,,81.23745099990629,None,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.0773047186137314,time,581.0,11.667476346506438,0.00022532799841592068,0,32,[],0.02550706989131868,None,None,86.83647929993458,86.83647929993458,0.23344556987285614,1.3107502884865876,87.04869679990225,86.83647929993458,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.0773047186137314,time,871.0,4.2769336047048805,6.608118094177421e-05,0,33,[],0.024272470036521554,None,['space'],88.15581630007364,88.15581630007364,0.2332039698958397,1.3105086885095711,88.37006699992344,88.15581630007364,[-0.9303216999396682],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.0773047186137314,time,1383.0,5.5487168879087285,9.699904795340302e-05,0,34,[],0.024279670091345906,None,None,89.4777250001207,89.4777250001207,0.2314542701933533,1.3087589888070847,89.69754280010238,89.4777250001207,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.0773047186137314,time,5528.0,2.8232878802046644,0.0001844651157207932,0,35,[],0.024371569976210594,None,None,90.79863619990647,90.79863619990647,0.23191316984593868,1.3092178884596701,91.01893060002476,90.79863619990647,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.0773047186137314,time,4925.0,3.0,0.00020847022442907278,0,36,[],0.022296869661659002,None,['space'],92.11661739996634,92.11661739996634,0.2244020695798099,1.3017067881935414,92.33681500004604,92.11661739996634,[-0.5952478998806328],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.0773047186137314,time,1955.0,7.748445178050381,0.00017759620127368898,0,37,[],0.016818169970065355,None,['space'],93.44007489993237,93.44007489993237,0.2137557698879391,1.2910604885016705,93.65726180002093,93.44007489993237,[-0.9351633000187576],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.0773047186137314,time,1552.0,3.8006803188490075,8.162206247439236e-05,0,38,[],0.02435897011309862,None,['space'],94.7641358000692,94.7641358000692,0.23041817010380328,1.3077228887175347,94.9781718000304,94.7641358000692,[-0.27479309984482825],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,1.0773047186137314,time,1098.0,6.251119395191826,9.889305802255695e-05,0,39,[],0.024260770063847303,None,None,96.08776920009404,96.08776920009404,0.23311956995166838,1.3104242885653998,96.30850949999876,96.08776920009404,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.0773047186137314,time,4388.0,1.2764458393997713,0.00012815105408222894,0,40,[],0.024003769969567657,None,['space'],97.40496889990754,97.40496889990754,0.22878827014937997,1.3060929887631114,97.62116870004684,97.40496889990754,[-0.9956255001015961],,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,1.0773047186137314,time,2929.0,3.1945842861737184,8.556879361777843e-05,0,41,[],0.020034870132803917,None,None,98.72449439996853,98.72449439996853,0.218032669974491,1.2953373885882224,98.94447700004093,98.72449439996853,,,,,luctew,001,french,0,2022-05-12_14h53.49.974,Continuous,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.04744220012799,None,0.5833333333333334,,,,,,,,,
